Key,Value
accommodates,21.177992668147137
to_city_center,7.707426093604674
beds,5.998776370333539
calculated_host_listings_count_private_rooms,5.30484316352279
review_scores_location,5.285433453109632
calculated_host_listings_count_entire_homes,4.781990930030148
host_total_listings_count,3.5555749174745497
reviews_per_month,2.6957929309971216
minimum_nights,2.542851032238055
host_listings_count,2.4456913762364847
calculated_host_listings_count,2.315042888894897
maximum_minimum_nights,2.2906001559758558
number_of_reviews,2.2421834205901368
review_scores_rating,2.195010594458566
number_of_reviews_ltm,2.1790715745865805
review_scores_value,2.0570960484987917
minimum_nights_avg_ntm,2.0379709021140497
host_acceptance_rate,2.0196168466778905
minimum_minimum_nights,1.917575509260344
has_availability_formatted,1.6781279267539642
host_response_rate,1.6367042097988902
availability_30,1.5207352197836748
availability_365,1.4611000111513408
review_scores_cleanliness,1.3788443107576331
calculated_host_listings_count_shared_rooms,1.317543884531458
maximum_nights,1.2920067839358769
instant_bookable_formatted,1.1282844737728364
review_scores_accuracy,1.079808396486673
host_is_superhost_formatted,1.0118471931180846
availability_60,0.9457457974475788
minimum_maximum_nights,0.8981991016864966
review_scores_checkin,0.8523821212189151
availability_90,0.8518145196248412
number_of_reviews_l30d,0.7461610929397061
maximum_nights_avg_ntm,0.4952995099349887
maximum_maximum_nights,0.3698349493870199
host_identity_verified_formatted,0.2938839833581219
review_scores_communication,0.17991899126937907
host_has_profile_pic_formatted,0.1112166462912741
bedrooms,0.0
