Key,Value
accommodates,21.748366936028987
to_city_center,6.837499740933821
beds,6.477473495780841
host_total_listings_count,4.845813786995784
reviews_per_month,4.808293679495224
review_scores_location,4.208132171323663
calculated_host_listings_count_private_rooms,3.8084407023978093
host_listings_count,3.169427854638423
calculated_host_listings_count,3.1487004821000446
calculated_host_listings_count_entire_homes,3.061796210204759
number_of_reviews,2.9388668283285235
availability_365,2.672367152267602
host_acceptance_rate,2.604904238766096
host_response_rate,2.3035381108448405
review_scores_cleanliness,2.1549295637117547
minimum_maximum_nights,2.145679347288648
review_scores_rating,1.980640243572477
maximum_nights,1.8073437888632613
number_of_reviews_ltm,1.7883834233062978
review_scores_value,1.650872917072424
review_scores_accuracy,1.641156137126166
maximum_minimum_nights,1.6050121148412226
minimum_nights,1.5746844218723761
availability_60,1.4532592371972302
minimum_nights_avg_ntm,1.3659605159611294
number_of_reviews_l30d,1.2163188195000985
availability_90,0.8383230744894609
instant_bookable_formatted,0.7781290183637635
availability_30,0.7741528095828839
review_scores_checkin,0.7559580439052278
review_scores_communication,0.7069754047312481
maximum_nights_avg_ntm,0.698806208539336
maximum_maximum_nights,0.5871123835716101
minimum_minimum_nights,0.5724904525561104
host_is_superhost_formatted,0.565273177188712
host_has_profile_pic_formatted,0.36604357373842705
host_identity_verified_formatted,0.2526513539533029
calculated_host_listings_count_shared_rooms,0.08622257896040873
neighbourhood_group_cleansed,0.0
bedrooms,0.0
has_availability_formatted,0.0
