id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
20652963,Guest suite in Denver · ★4.97 · 1 bedroom · 2 beds · 1 bath,4336857,Ryan,,Sloan Lake,39.75547,-105.04476,Entire home/apt,71,2,371,2023-12-26,4.84,1,0,79,2019-BFN-0008756
32385444,Home in Denver · ★4.76 · 2 bedrooms · 2 beds · 2 baths,243181822,Louis,,Five Points,39.76279,-104.97609,Entire home/apt,132,1,232,2023-12-09,3.95,1,0,33,2018-BFN-0008863
980513938631448410,Home in Denver · ★4.91 · 3 bedrooms · 4 beds · 2 baths,537133764,Atomic,,Washington Park West,39.696571580301786,-104.97649736135266,Entire home/apt,238,1,10,2023-12-10,3.03,1,0,10,2023-BFN-0013655
46375501,Guesthouse in Denver · ★4.96 · 1 bedroom · 1 bed · 1 bath,50403533,Aaron,,Capitol Hill,39.72843,-104.97729,Entire home/apt,149,29,255,2023-11-08,6.95,4,0,112,2022-BFN-0004386
14231430,Guest suite in Denver · ★5.0 · 2 bedrooms · 2 beds · 1 bath,83388603,Julia,,Highland,39.7611475,-105.0115782,Entire home/apt,126,2,32,2023-12-10,3.58,1,0,32,2023-BFN-0004522
26130807,Bed and breakfast in Denver · ★4.82 · 1 bedroom · 1 bed · 1 private bath,196418785,The Curtis Park Club,,Five Points,39.7569,-104.9852,Private room,101,1,245,2023-12-24,3.67,9,0,41,2017-BFN-0008336
43148202,Bungalow in Denver · ★4.85 · 2 bedrooms · 3 beds · 1 bath,153456315,Claire,,Speer,39.71263,-104.97476,Entire home/apt,146,1,277,2023-12-27,6.17,1,0,70,2023-BFN-0007609
17607361,Rental unit in Denver · ★4.88 · 1 bedroom · 1 bed · 1 bath,8223595,Liz,,Speer,39.71349,-104.98541,Entire home/apt,115,2,208,2023-12-16,2.55,2,328,18,2017-BFN-0001652
31333659,Guesthouse in Denver · ★4.99 · Studio · 1 bed · 1 bath,15389921,Mary,,Highland,39.76569,-105.02216,Entire home/apt,135,2,97,2023-11-13,1.80,1,0,26,2019-BFN-0002232
33072242,Guest suite in Denver · ★4.91 · 2 bedrooms · 2 beds · 1 bath,248897983,Dan,,Platt Park,39.68859,-104.98394,Entire home/apt,151,1,127,2023-12-17,6.16,1,0,71,2021-BFN-0001446
27953051,Home in Denver · ★4.81 · 3 bedrooms · 5 beds · 2.5 baths,185870296,Joshua,,Congress Park,39.74009,-104.95736,Entire home/apt,179,1,271,2023-12-18,4.19,1,0,69,2021-BFN-0005019
832070819601867288,Home in Denver · ★4.84 · 4 bedrooms · 8 beds · 3.5 baths,121718072,Evolve,,Congress Park,39.73428,-104.9421,Entire home/apt,281,2,24,2023-12-04,2.41,82,0,24,2023-BFN-0001505
752986081902253253,Home in Denver · ★4.97 · 3 bedrooms · 4 beds · 1 bath,316738260,Sarah,,Washington Park West,39.70120319999999,-104.9818521,Entire home/apt,278,28,31,2023-11-26,2.50,1,0,30,2022-BFN-0015645
577043781539457337,Home in Denver · ★4.92 · 2 bedrooms · 3 beds · 2 baths,2619306,Zack,,Lincoln Park,39.73276,-104.99716,Entire home/apt,76,30,98,2023-12-07,4.62,58,0,59,2020-BFN-0006592
3404692,Home in Denver · ★4.88 · 3 bedrooms · 4 beds · 2.5 baths,180156649,Jacob,,Whittier,39.7574,-104.96713,Entire home/apt,144,1,255,2023-12-12,2.22,1,0,69,2022-BFN-0007379
